signal,dv,spec,n,coef,se,t,p,r2,fdr_significant
maturity_index,rev_growth_yoy,1_univariate,433,0.10310111277208361,0.028167958019768666,3.6602267264004658,0.00025199217662182094,0.03506403190283558,False
maturity_index,rev_growth_yoy,2_sector,433,0.05963635769350484,0.02934862036223926,2.0319986751484445,0.04215379006914485,0.0973722490413318,False
maturity_index,rev_growth_yoy,3_size,433,0.03216037356368541,0.030703201252649977,1.0474599472232449,0.2948874957461768,0.12169283852699853,False
maturity_index,rev_growth_yoy,4_full,433,0.023719337114908493,0.029871212579335366,0.7940533733577764,0.4271643601544767,0.3052121161580921,False
adoption_score,rev_growth_yoy,1_univariate,433,0.1151506368075498,0.028416235863452554,4.052283256687435,5.072020480901033e-05,0.03775839588872565,False
adoption_score,rev_growth_yoy,2_sector,433,0.07504421495323176,0.030795441299234567,2.4368611647431404,0.01481536635444483,0.10119357579986799,False
adoption_score,rev_growth_yoy,3_size,433,0.04916193777605302,0.032698093281834865,1.5035108424308183,0.13270736311338477,0.12452851383770736,False
adoption_score,rev_growth_yoy,4_full,433,0.03673757921632204,0.030964071800822977,1.186458275017487,0.23544136986227238,0.30682905664008864,False
proficiency_score,rev_growth_yoy,1_univariate,433,0.0750289821684553,0.02790795327503778,2.6884444526988958,0.00717857779900837,0.016841834787531762,False
proficiency_score,rev_growth_yoy,2_sector,433,0.02234497086554326,0.03231158224566253,0.6915467864017344,0.48922198941092887,0.08877570968539661,False
proficiency_score,rev_growth_yoy,3_size,433,-0.012735403413547189,0.03428901205558394,-0.37141354183382597,0.7103295408563866,0.1194228718390965,False
proficiency_score,rev_growth_yoy,4_full,433,-0.011847187509688675,0.031816098200104,-0.3723645632213302,0.7096214344081782,0.30408984764781244,False
impact_score,rev_growth_yoy,1_univariate,433,0.10163443438355658,0.03012541690151499,3.3737104689975412,0.000741623273950492,0.029721692955798518,False
impact_score,rev_growth_yoy,2_sector,433,0.06254919908102573,0.02866229736526564,2.1822814230106298,0.029088769189579217,0.09783536947099081,False
impact_score,rev_growth_yoy,3_size,433,0.04084552773688575,0.02882189371496803,1.4171701603241118,0.156433183731322,0.12323522754171135,False
impact_score,rev_growth_yoy,4_full,433,0.023175448926908985,0.027130535247831173,0.8542201145390834,0.39298304016908747,0.30512363715639934,False
conc,rev_growth_yoy,1_univariate,399,0.14746079492907438,0.03369774184719294,4.375984467972831,1.2088562252206594e-05,0.06766714451687472,False
conc,rev_growth_yoy,2_sector,399,0.0937810347080173,0.033554327026650496,2.7949013739280715,0.005191555070529985,0.12834247191120607,False
conc,rev_growth_yoy,3_size,399,0.08433479862381948,0.03329891423481332,2.532659114021478,0.011320098023485237,0.16353092911339473,False
conc,rev_growth_yoy,4_full,399,0.08709661097355825,0.03203962453637388,2.7184029848626783,0.006559788960267261,0.28182272812103804,False
inv,rev_growth_yoy,1_univariate,387,0.12938024889320537,0.03642857625534994,3.5516142049115755,0.00038287579460218334,0.04054635440214838,False
inv,rev_growth_yoy,2_sector,387,0.07566946343055608,0.032523316771089446,2.326621972880085,0.019985394014942856,0.11739154934495777,False
inv,rev_growth_yoy,3_size,387,0.05713953304183195,0.03161858418090506,1.8071502732351745,0.07073885186409785,0.15219153254185447,False
inv,rev_growth_yoy,4_full,387,0.047517756074051336,0.02885437696629922,1.6468127566764035,0.09959653848358813,0.2657988277859916,False
builder_rate,rev_growth_yoy,1_univariate,215,0.02605955277176827,0.03050922840107975,0.8541531247262222,0.39302015185179096,0.0025548648354212222,False
builder_rate,rev_growth_yoy,2_sector,215,0.017007296482557267,0.03154901255525421,0.5390753974556598,0.5898348307518999,0.0722957106677341,False
builder_rate,rev_growth_yoy,3_size,215,-0.012482461643255002,0.03381538578878192,-0.369135568087944,0.7120266786437703,0.106198489935722,False
builder_rate,rev_growth_yoy,4_full,215,-0.03264678183643075,0.020298048624935255,-1.6083704615982455,0.10775406696937605,0.4135988977142846,False
maturity_index,op_margin_delta_yoy,4_full,344,0.024696712210568378,0.03319492443227347,0.743990614015594,0.4568821534606383,0.058554595532278375,False
adoption_score,op_margin_delta_yoy,4_full,344,0.01934881560702016,0.037339641565995944,0.5181842887490524,0.6043296955733132,0.05755529195255493,False
proficiency_score,op_margin_delta_yoy,4_full,344,0.015563731307876458,0.03540369155160138,0.4396075840055295,0.6602213468920495,0.05711447965040761,False
impact_score,op_margin_delta_yoy,4_full,344,0.02335042024082002,0.030606338746579063,0.7629275894174029,0.4455065813359934,0.0583670989293712,False
conc,op_margin_delta_yoy,4_full,317,0.0010922810764223446,0.040473099037278054,0.02698782901245815,0.9784694415380439,0.06849975040756551,False
inv,op_margin_delta_yoy,4_full,308,-0.01586838622747252,0.03939091289745659,-0.4028438302199673,0.6870631149752254,0.07824957968629143,False
builder_rate,op_margin_delta_yoy,4_full,176,-0.03371501828630264,0.026122911868011717,-1.2906301738738277,0.1968319478224545,0.09927388432685902,False
maturity_index,fwd_ret_4m,4_full,494,-0.085735826603198,0.038486832643930075,-2.2276664696313944,0.025902764559003463,0.21949340759041236,False
adoption_score,fwd_ret_4m,4_full,494,-0.08174039716145835,0.04223746728196361,-1.935258016674769,0.052958641486470094,0.21796604062479197,False
proficiency_score,fwd_ret_4m,4_full,494,-0.09395593611730578,0.043380500874071526,-2.1658564153062403,0.030322160745197373,0.21960377561317113,False
impact_score,fwd_ret_4m,4_full,494,-0.0728539688546708,0.03771990472850975,-1.9314462583890288,0.05342788925261394,0.21703940400069865,False
conc,fwd_ret_4m,4_full,455,-0.027298455425768572,0.036029207246114296,-0.7576757167953696,0.4486451396646739,0.2152786186709731,False
inv,fwd_ret_4m,4_full,441,-0.06970726501872657,0.05095029126156546,-1.3681426208315024,0.17126743796653054,0.20196236213879815,False
builder_rate,fwd_ret_4m,4_full,247,-0.012594681729844572,0.06141901711774488,-0.20506159689432377,0.8375240000495086,0.17672520892657462,False
