sample,signal,dv,spec,n,coef,se,t,p,r2
full,maturity_index,rev_growth_yoy,1_univariate,433,0.10310111277208361,0.028167958019768666,3.6602267264004658,0.00025199217662182094,0.03506403190283558
full,maturity_index,rev_growth_yoy,2_sector,433,0.05963635769350484,0.02934862036223926,2.0319986751484445,0.04215379006914485,0.0973722490413318
full,maturity_index,rev_growth_yoy,3_size,433,0.03216037356368541,0.030703201252649977,1.0474599472232449,0.2948874957461768,0.12169283852699853
full,maturity_index,rev_growth_yoy,4_full,433,0.023719337114908493,0.029871212579335366,0.7940533733577764,0.4271643601544767,0.3052121161580921
full,adoption_score,rev_growth_yoy,1_univariate,433,0.1151506368075498,0.028416235863452554,4.052283256687435,5.072020480901033e-05,0.03775839588872565
full,adoption_score,rev_growth_yoy,2_sector,433,0.07504421495323176,0.030795441299234567,2.4368611647431404,0.01481536635444483,0.10119357579986799
full,adoption_score,rev_growth_yoy,3_size,433,0.04916193777605302,0.032698093281834865,1.5035108424308183,0.13270736311338477,0.12452851383770736
full,adoption_score,rev_growth_yoy,4_full,433,0.03673757921632204,0.030964071800822977,1.186458275017487,0.23544136986227238,0.30682905664008864
full,proficiency_score,rev_growth_yoy,1_univariate,433,0.0750289821684553,0.02790795327503778,2.6884444526988958,0.00717857779900837,0.016841834787531762
full,proficiency_score,rev_growth_yoy,2_sector,433,0.02234497086554326,0.03231158224566253,0.6915467864017344,0.48922198941092887,0.08877570968539661
full,proficiency_score,rev_growth_yoy,3_size,433,-0.012735403413547189,0.03428901205558394,-0.37141354183382597,0.7103295408563866,0.1194228718390965
full,proficiency_score,rev_growth_yoy,4_full,433,-0.011847187509688675,0.031816098200104,-0.3723645632213302,0.7096214344081782,0.30408984764781244
full,impact_score,rev_growth_yoy,1_univariate,433,0.10163443438355658,0.03012541690151499,3.3737104689975412,0.000741623273950492,0.029721692955798518
full,impact_score,rev_growth_yoy,2_sector,433,0.06254919908102573,0.02866229736526564,2.1822814230106298,0.029088769189579217,0.09783536947099081
full,impact_score,rev_growth_yoy,3_size,433,0.04084552773688575,0.02882189371496803,1.4171701603241118,0.156433183731322,0.12323522754171135
full,impact_score,rev_growth_yoy,4_full,433,0.023175448926908985,0.027130535247831173,0.8542201145390834,0.39298304016908747,0.30512363715639934
full,conc,rev_growth_yoy,1_univariate,399,0.14746079492907438,0.03369774184719294,4.375984467972831,1.2088562252206594e-05,0.06766714451687472
full,conc,rev_growth_yoy,2_sector,399,0.0937810347080173,0.033554327026650496,2.7949013739280715,0.005191555070529985,0.12834247191120607
full,conc,rev_growth_yoy,3_size,399,0.08433479862381948,0.03329891423481332,2.532659114021478,0.011320098023485237,0.16353092911339473
full,conc,rev_growth_yoy,4_full,399,0.08709661097355825,0.03203962453637388,2.7184029848626783,0.006559788960267261,0.28182272812103804
full,inv,rev_growth_yoy,1_univariate,387,0.12938024889320537,0.03642857625534994,3.5516142049115755,0.00038287579460218334,0.04054635440214838
full,inv,rev_growth_yoy,2_sector,387,0.07566946343055608,0.032523316771089446,2.326621972880085,0.019985394014942856,0.11739154934495777
full,inv,rev_growth_yoy,3_size,387,0.05713953304183195,0.03161858418090506,1.8071502732351745,0.07073885186409785,0.15219153254185447
full,inv,rev_growth_yoy,4_full,387,0.047517756074051336,0.02885437696629922,1.6468127566764035,0.09959653848358813,0.2657988277859916
full,builder_rate,rev_growth_yoy,1_univariate,215,0.02605955277176827,0.03050922840107975,0.8541531247262222,0.39302015185179096,0.0025548648354212222
full,builder_rate,rev_growth_yoy,2_sector,215,0.017007296482557267,0.03154901255525421,0.5390753974556598,0.5898348307518999,0.0722957106677341
full,builder_rate,rev_growth_yoy,3_size,215,-0.012482461643255002,0.03381538578878192,-0.369135568087944,0.7120266786437703,0.106198489935722
full,builder_rate,rev_growth_yoy,4_full,215,-0.03264678183643075,0.020298048624935255,-1.6083704615982455,0.10775406696937605,0.4135988977142846
full,maturity_index,op_margin_delta_yoy,4_full,344,0.024696712210568378,0.03319492443227347,0.743990614015594,0.4568821534606383,0.058554595532278375
full,adoption_score,op_margin_delta_yoy,4_full,344,0.01934881560702016,0.037339641565995944,0.5181842887490524,0.6043296955733132,0.05755529195255493
full,proficiency_score,op_margin_delta_yoy,4_full,344,0.015563731307876458,0.03540369155160138,0.4396075840055295,0.6602213468920495,0.05711447965040761
full,impact_score,op_margin_delta_yoy,4_full,344,0.02335042024082002,0.030606338746579063,0.7629275894174029,0.4455065813359934,0.0583670989293712
full,conc,op_margin_delta_yoy,4_full,317,0.0010922810764223446,0.040473099037278054,0.02698782901245815,0.9784694415380439,0.06849975040756551
full,inv,op_margin_delta_yoy,4_full,308,-0.01586838622747252,0.03939091289745659,-0.4028438302199673,0.6870631149752254,0.07824957968629143
full,builder_rate,op_margin_delta_yoy,4_full,176,-0.03371501828630264,0.026122911868011717,-1.2906301738738277,0.1968319478224545,0.09927388432685902
full,maturity_index,fwd_ret_4m,4_full,494,-0.085735826603198,0.038486832643930075,-2.2276664696313944,0.025902764559003463,0.21949340759041236
full,adoption_score,fwd_ret_4m,4_full,494,-0.08174039716145835,0.04223746728196361,-1.935258016674769,0.052958641486470094,0.21796604062479197
full,proficiency_score,fwd_ret_4m,4_full,494,-0.09395593611730578,0.043380500874071526,-2.1658564153062403,0.030322160745197373,0.21960377561317113
full,impact_score,fwd_ret_4m,4_full,494,-0.0728539688546708,0.03771990472850975,-1.9314462583890288,0.05342788925261394,0.21703940400069865
full,conc,fwd_ret_4m,4_full,455,-0.027298455425768572,0.036029207246114296,-0.7576757167953696,0.4486451396646739,0.2152786186709731
full,inv,fwd_ret_4m,4_full,441,-0.06970726501872657,0.05095029126156546,-1.3681426208315024,0.17126743796653054,0.20196236213879815
full,builder_rate,fwd_ret_4m,4_full,247,-0.012594681729844572,0.06141901711774488,-0.20506159689432377,0.8375240000495086,0.17672520892657462
ex_semis,maturity_index,rev_growth_yoy,1_univariate,429,0.09468259047171272,0.02756903643768114,3.4343815637423334,0.0005939075435645993,0.03225310174278828
ex_semis,maturity_index,rev_growth_yoy,2_sector,429,0.05798121655158621,0.02884211710573917,2.010296828732062,0.044399782334695166,0.08494388152271326
ex_semis,maturity_index,rev_growth_yoy,3_size,429,0.03245142961850443,0.029891547292840603,1.0856390035813552,0.27763873658998406,0.1071902333039142
ex_semis,maturity_index,rev_growth_yoy,4_full,429,0.02445638926851147,0.0291307431021991,0.8395388055399534,0.40116702263167936,0.2795568914989338
ex_semis,adoption_score,rev_growth_yoy,1_univariate,429,0.10800436379436626,0.02787612586342311,3.874439523035775,0.00010687037846088702,0.03629554581017447
ex_semis,adoption_score,rev_growth_yoy,2_sector,429,0.0746181327206609,0.030125034438728708,2.476947632123929,0.013251134304470336,0.08958198178655619
ex_semis,adoption_score,rev_growth_yoy,3_size,429,0.050879745219793666,0.03149450944705743,1.6155115959282682,0.10619995121537923,0.1106812604896471
ex_semis,adoption_score,rev_growth_yoy,4_full,429,0.03842016593754899,0.03007320404959355,1.2775547917737835,0.2014064494125265,0.2815475155268259
ex_semis,proficiency_score,rev_growth_yoy,1_univariate,429,0.06634386263528261,0.02718502419470795,2.440456265924443,0.014668721961367903,0.014354582183718101
ex_semis,proficiency_score,rev_growth_yoy,2_sector,429,0.021713319367841922,0.03170287792993619,0.6849005764028322,0.49340666225744056,0.07605764830652162
ex_semis,proficiency_score,rev_growth_yoy,3_size,429,-0.010688134119017078,0.0333907193943118,-0.32009295735143195,0.7488978642538783,0.10455142252438199
ex_semis,proficiency_score,rev_growth_yoy,4_full,429,-0.010525112873946002,0.031043559937038445,-0.339043360210385,0.7345770658544487,0.27816716292033183
ex_semis,impact_score,rev_growth_yoy,1_univariate,429,0.09614653376364286,0.029863149044660503,3.219571171809617,0.0012838248737569327,0.02902956803553236
ex_semis,impact_score,rev_growth_yoy,2_sector,429,0.06238758327564907,0.02831879826305755,2.20304487132969,0.02759158617053678,0.08592266842887686
ex_semis,impact_score,rev_growth_yoy,3_size,429,0.041813991309217896,0.028223099568044155,1.4815520601628795,0.13845952294744496,0.1090111642120638
ex_semis,impact_score,rev_growth_yoy,4_full,429,0.025035307638238417,0.02658402496622509,0.9417425566687394,0.34632446125011085,0.2795950784496759
ex_semis,conc,rev_growth_yoy,1_univariate,395,0.12881608810976006,0.031168892661603775,4.132841339867219,3.583060744436526e-05,0.05666521876711039
ex_semis,conc,rev_growth_yoy,2_sector,395,0.0829371880395927,0.032036293783562826,2.588850901415634,0.009629677915818724,0.1112195608947446
ex_semis,conc,rev_growth_yoy,3_size,395,0.07512437649402061,0.03185850303805347,2.358063604064764,0.018370545078441373,0.14504640328986185
ex_semis,conc,rev_growth_yoy,4_full,395,0.08000150040021099,0.03067452175955888,2.608076534242321,0.009105259381429368,0.25092865400481856
ex_semis,inv,rev_growth_yoy,1_univariate,383,0.10641799724447423,0.033435208535777826,3.1828124275223266,0.001458520668690538,0.02973776660717542
ex_semis,inv,rev_growth_yoy,2_sector,383,0.06313241229593833,0.031153770422541447,2.02647741957611,0.04271588438254119,0.1003316675081497
ex_semis,inv,rev_growth_yoy,3_size,383,0.047950382848247916,0.03039952442876425,1.5773399008465052,0.11471733599059099,0.13401462034520417
ex_semis,inv,rev_growth_yoy,4_full,383,0.041462492602988274,0.02819600647647258,1.4705094013077904,0.1414238413563138,0.23422000044955738
ex_semis,builder_rate,rev_growth_yoy,1_univariate,212,0.02570521210631986,0.03057187817707824,0.8408123294692689,0.4004530788516363,0.002911696434976685
ex_semis,builder_rate,rev_growth_yoy,2_sector,212,0.021019220515200072,0.03149497361960948,0.6673833345303403,0.5045273082579929,0.05936284316066276
ex_semis,builder_rate,rev_growth_yoy,3_size,212,-0.00430382550394675,0.03155201370953355,-0.1364041466122441,0.8915017957961029,0.08898272722758527
ex_semis,builder_rate,rev_growth_yoy,4_full,212,-0.026947410911654774,0.01943073609100197,-1.386844573743845,0.16548916193693908,0.3685139985319462
ex_semis,maturity_index,op_margin_delta_yoy,4_full,340,0.023672379911956254,0.03375913334393291,0.7012140883708611,0.4831694189884501,0.05372552165384237
ex_semis,adoption_score,op_margin_delta_yoy,4_full,340,0.021798715604770244,0.037892876867150024,0.5752721199077898,0.56510727400206,0.053221191124847356
ex_semis,proficiency_score,op_margin_delta_yoy,4_full,340,0.016408745597239066,0.035830519131478604,0.4579544476324179,0.6469851682433817,0.05255025941739078
ex_semis,impact_score,op_margin_delta_yoy,4_full,340,0.02209147432302603,0.031111926882961143,0.7100644844702536,0.4776641489489669,0.05349732428921139
ex_semis,conc,op_margin_delta_yoy,4_full,313,-0.003949416149213885,0.04071913095853199,-0.09699166107537846,0.922733016724467,0.06319661059768722
ex_semis,inv,op_margin_delta_yoy,4_full,304,-0.017627462384507464,0.04023029131611021,-0.43816392593330666,0.6612674568104419,0.0717590424395591
ex_semis,builder_rate,op_margin_delta_yoy,4_full,173,-0.020427076580198315,0.023989982710458508,-0.8514835890770804,0.3945007757244793,0.12162523119732449
ex_semis,maturity_index,fwd_ret_4m,4_full,489,-0.07198134560220587,0.035866227858105025,-2.0069393939886986,0.04475611658870795,0.2017527490070562
ex_semis,adoption_score,fwd_ret_4m,4_full,489,-0.07573688832171052,0.03999556048437882,-1.8936323783058695,0.05827382269966871,0.2016610133607043
ex_semis,proficiency_score,fwd_ret_4m,4_full,489,-0.08977372922757118,0.04191521872923945,-2.1417931708166495,0.03221012922144452,0.20373321290176738
ex_semis,impact_score,fwd_ret_4m,4_full,489,-0.05178554847108751,0.033767570311061264,-1.5335882325570842,0.12513098507955572,0.19859946368836867
ex_semis,conc,fwd_ret_4m,4_full,450,-0.04189009752762611,0.03518126322634119,-1.1906933886405144,0.23377397431078983,0.19934472049364638
ex_semis,inv,fwd_ret_4m,4_full,436,-0.10236549660626867,0.04763421893491975,-2.148990765359783,0.031635131985604525,0.18707850525436398
ex_semis,builder_rate,fwd_ret_4m,4_full,243,-0.02110176576188066,0.058784597570267834,-0.35896759753533714,0.7196193293781032,0.14925550314117841
