ticker,prior_rev_growth_yoy,prior_q_end,mktcap_t0,mktcap_source
MMM,0.03543056879567841,2025-09-30,81439894494.6289,sec_shares_x_jan_price
AOS,0.04420562818524254,2025-09-30,5287311069.420471,sec_shares_x_jan_price
AES,0.018850714502888444,2025-09-30,9579005429.862213,sec_shares_x_jan_price
AMD,0.355917289925209,2025-09-27,378124879723.1886,sec_shares_x_jan_price
APA,,,8811591820.396889,sec_shares_x_jan_price
T,0.016416774236255982,2025-09-30,162463188030.92273,sec_shares_x_jan_price
ABBV,0.1774124374553252,2018-09-30,375344973140.45593,sec_shares_x_jan_price
ABT,0.06901739539257168,2025-09-30,209190520567.1317,sec_shares_x_jan_price
ACN,0.05950294368792419,2025-11-30,172259853283.613,sec_shares_x_jan_price
ADBE,0.10724852071005908,2025-08-29,119196882995.60547,sec_shares_x_jan_price
AFL,0.6073245167853509,2025-09-30,55831249363.27295,sec_shares_x_jan_price
A,0.10139416983523453,2025-07-31,38298482815.704544,sec_shares_x_jan_price
APD,0.058331911990448626,2025-12-31,57127145784.99243,sec_shares_x_jan_price
ABNB,0.09726688102893899,2025-09-30,88390683835.43011,yfinance_current
AKAM,0.09764180442093973,2018-03-31,12981974793.318283,sec_shares_x_jan_price
ALB,-0.03459310308173369,2025-09-30,20283111280.9198,sec_shares_x_jan_price
ACI,0.018599696396708332,2025-11-29,8643522551.372868,sec_shares_x_jan_price
ARE,-0.05010440786905623,2025-09-30,9813189795.228539,sec_shares_x_jan_price
ALGN,0.01822324394194741,2025-09-30,11800757170.135803,sec_shares_x_jan_price
ALLE,0.10660738289732197,2025-09-30,13989619902.797058,sec_shares_x_jan_price
LNT,0.11933395004625358,2025-09-30,17033378749.297653,sec_shares_x_jan_price
ALL,0.050830001211680687,2025-12-31,49718344584.805145,sec_shares_x_jan_price
GOOGL,0.12037646357665222,2025-03-31,4391828139545.5474,yfinance_current
MO,-0.02987697715289983,2025-09-30,100551700069.35019,sec_shares_x_jan_price
AMZN,0.13401562214795093,2025-09-30,2479766720970.0,sec_shares_x_jan_price
AMCR,0.6812712125887073,2025-12-31,18468366895.44628,sec_shares_x_jan_price
AEE,0.24206166589967792,2025-09-30,28280706746.30825,sec_shares_x_jan_price
AEP,0.08994351108754861,2025-09-30,63514394550.83889,sec_shares_x_jan_price
AXP,0.07194318649650056,2025-09-30,241056519470.91568,sec_shares_x_jan_price
AIG,-0.059250481410161426,2025-09-30,38640462518.59037,sec_shares_x_jan_price
AMT,0.2941176470588236,2025-09-30,82026995444.85565,sec_shares_x_jan_price
AWK,0.09487951807228923,2025-09-30,25300569372.762268,sec_shares_x_jan_price
AMP,0.06314375279892515,2018-09-30,44617658055.9321,sec_shares_x_jan_price
AME,0.10773784300734413,2025-09-30,48726838432.45853,sec_shares_x_jan_price
AMGN,0.12395625073503469,2025-09-30,175875418808.87833,sec_shares_x_jan_price
APH,0.5337228879865306,2025-09-30,186876962861.12228,sec_shares_x_jan_price
ADI,0.24571264967829465,2025-08-02,143503699523.03732,sec_shares_x_jan_price
AON,0.07417360924482663,2025-09-30,72548012129.53613,sec_shares_x_jan_price
APO,0.2637334362536987,2025-09-30,79506776666.3984,sec_shares_x_jan_price
AAPL,0.15652453740949324,2025-12-27,3615120732938.5376,sec_shares_x_jan_price
AMAT,0.07730894069046923,2025-07-27,251922718889.31723,sec_shares_x_jan_price
APTV,0.07375360527400088,2025-09-30,16417793715.616043,sec_shares_x_jan_price
ACGL,0.08195679796696309,2025-09-30,32662745861.82556,sec_shares_x_jan_price
ADM,0.07147628590514365,2025-09-30,31258327996.43643,sec_shares_x_jan_price
ANET,0.27464471411468994,2025-09-30,160233709555.00568,sec_shares_x_jan_price
AJG,0.1990879293145218,2025-09-30,65113172048.950195,sec_shares_x_jan_price
AIZ,0.0888903864945918,2025-09-30,11481419406.099167,sec_shares_x_jan_price
ATO,0.14165488235959378,2025-12-31,27484713700.514618,sec_shares_x_jan_price
AZO,0.08154632596519185,2025-11-22,59213060573.989746,sec_shares_x_jan_price
ADSK,0.18025477707006377,2025-10-31,53566568969.72656,sec_shares_x_jan_price
ADP,0.0615838681562475,2025-12-31,101872857864.02051,sec_shares_x_jan_price
AVB,0.08974358974358965,2025-09-30,24696156691.309433,sec_shares_x_jan_price
AVY,0.01470184116515516,2025-09-27,13850101204.402771,sec_shares_x_jan_price
AXON,0.30566773353127275,2025-09-30,49888366861.26709,sec_shares_x_jan_price
BJ,0.04879020207225837,2025-11-01,11952290878.515076,sec_shares_x_jan_price
BNY,-0.020005196154845417,2016-06-30,82204104189.78656,sec_shares_x_jan_price
BXP,0.014295407383613457,2025-09-30,10270196179.256989,sec_shares_x_jan_price
BKR,0.014765489287782207,2025-09-30,50298423809.06422,sec_shares_x_jan_price
BALL,0.08616462346760079,2018-06-30,14635063733.124638,sec_shares_x_jan_price
BAC,0.10822647464983226,2025-09-30,369881442036.89484,sec_shares_x_jan_price
BAX,0.05038903297517594,2025-09-30,9960742492.522383,sec_shares_x_jan_price
BDX,0.016253869969040213,2025-12-31,44923955387.3143,sec_shares_x_jan_price
BBBY,-0.17416866819939114,2025-09-30,476274818.6172581,yfinance_current
BRK.B,0.027382026817947436,2025-09-30,456985476.3812256,sec_shares_x_jan_price
BBY,-0.009042613315248138,2025-05-03,13586822823.398506,sec_shares_x_jan_price
TECH,-0.0038851163683252254,2025-12-31,10849749086.93753,sec_shares_x_jan_price
BIIB,0.02794224997972261,2025-09-30,24270926077.234375,sec_shares_x_jan_price
BLK,0.2524533384644987,2025-09-30,170065354837.70642,sec_shares_x_jan_price
BX,-0.15684645694440424,2025-09-30,111879997600.79768,sec_shares_x_jan_price
XYZ,0.023285748638550707,2025-09-30,46918119319.80896,yfinance_current
BA,0.3043721973094171,2025-09-30,195551426904.0,sec_shares_x_jan_price
BKNG,0.0393702735977266,2019-09-30,6338446165.31662,sec_shares_x_jan_price
BSX,0.20337372297457823,2025-09-30,135330349058.74097,sec_shares_x_jan_price
BMY,0.027749747729566066,2025-09-30,109290711479.99284,sec_shares_x_jan_price
AVGO,0.2203182374541004,2025-08-03,1571454258206.6477,sec_shares_x_jan_price
BR,0.07846715328467146,2025-12-31,24299576883.073883,sec_shares_x_jan_price
BRO,0.35413153456998314,2025-09-30,26790340541.58854,sec_shares_x_jan_price
BF-A,-0.05388127853881275,2025-10-31,12279207836.425695,yfinance_current
BLDR,-0.0688256144013435,2025-09-30,13551332682.586128,sec_shares_x_jan_price
BG,0.12939049586776852,2025-09-30,21049366804.978333,sec_shares_x_jan_price
BURL,0.07118630783152713,2025-11-01,19039425101.242737,sec_shares_x_jan_price
CHRW,-0.10932922479907492,2025-09-30,20629058089.77913,sec_shares_x_jan_price
CBRE,0.14079096045197748,2025-09-30,48807418669.590485,sec_shares_x_jan_price
CDW,0.04002465286589563,2025-09-30,15918087468.490479,sec_shares_x_jan_price
CF,0.21094890510948905,2025-09-30,13460292291.061493,sec_shares_x_jan_price
CME,-0.029537995455693022,2025-09-30,18124701468.531403,sec_shares_x_jan_price
CMS,0.15429573348918768,2025-09-30,21533493166.935608,sec_shares_x_jan_price
CSX,-0.008842221608179046,2025-09-30,65614965017.85194,sec_shares_x_jan_price
CVS,0.365524974084495,2019-09-30,100180583954.77122,sec_shares_x_jan_price
CDNS,0.10147190577696907,2025-09-30,83703857000.0,sec_shares_x_jan_price
CZR,-0.0017397355601947995,2025-09-30,4650455407.487108,sec_shares_x_jan_price
CPT,0.5026362038664323,2025-09-30,10970375439.9897,sec_shares_x_jan_price
CPB,-0.03427128427128423,2025-11-02,7751481134.485352,sec_shares_x_jan_price
COF,0.5777470628887353,2025-09-30,141100312605.2635,sec_shares_x_jan_price
KMX,-0.06901372240254522,2025-11-30,6728250723.632252,sec_shares_x_jan_price
CAH,0.1875180949623625,2025-12-31,49383717284.293945,sec_shares_x_jan_price
CCL,0.03254812563323206,2025-08-31,34283091569.668236,sec_shares_x_jan_price
CARR,-0.06768048128342241,2025-09-30,45983153535.22859,sec_shares_x_jan_price
CAT,0.1799568300955905,2025-12-31,292109596462.85376,sec_shares_x_jan_price
CBOE,2.9140371430217598,2017-09-30,28331751441.902344,sec_shares_x_jan_price
COR,0.05454799817296152,2025-12-31,67943004899.11725,sec_shares_x_jan_price
CNC,0.21678094257296943,2025-09-30,22503440134.578705,sec_shares_x_jan_price
CNP,0.07625743645213623,2025-09-30,25378168766.88025,sec_shares_x_jan_price
CRL,-0.00486351747885394,2025-09-27,10741013802.185059,sec_shares_x_jan_price
SCHW,0.26573138023519705,2025-09-30,175729599544.8902,sec_shares_x_jan_price
CHTR,-0.00891627401232331,2025-09-30,49904905090.793884,sec_shares_x_jan_price
CVX,-0.015472345991906167,2025-09-30,323677286639.6807,sec_shares_x_jan_price
CHWY,0.08304215093297107,2025-11-02,8536494872.13294,yfinance_current
CMG,0.07512521585236986,2025-09-30,50794497000.0,sec_shares_x_jan_price
CB,0.08748063842683007,2025-09-30,117114809595.15674,sec_shares_x_jan_price
CHD,0.049649146034688174,2025-09-30,21673437864.319923,sec_shares_x_jan_price
CI,0.09504819920243657,2025-09-30,70678174516.87097,sec_shares_x_jan_price
CINF,0.12228915662650608,2025-09-30,24878015975.756104,sec_shares_x_jan_price
CTAS,0.09298562758828521,2025-11-30,77087235219.96869,sec_shares_x_jan_price
CSCO,0.07528357777617223,2025-10-25,288163188429.3005,sec_shares_x_jan_price
C,0.08737386167856265,2025-09-30,195375798924.42383,sec_shares_x_jan_price
CFG,0.2316076294277929,2025-09-30,25060742054.246796,sec_shares_x_jan_price
CLX,-0.00771055753262162,2025-12-31,12971947563.644203,sec_shares_x_jan_price
CSGP,0.20358071036673397,2025-09-30,26791208341.70925,sec_shares_x_jan_price
KO,0.05070018559136158,2025-09-26,306469600708.1018,sec_shares_x_jan_price
CTSH,0.0735527359238699,2025-09-30,38843722600.28412,sec_shares_x_jan_price
COIN,0.5505342297872622,2025-09-30,43597486432.05417,yfinance_current
CL,0.01947148817802513,2025-09-30,67647046743.84183,sec_shares_x_jan_price
CMCSA,-0.027190520735890233,2025-09-30,57428366502.47781,sec_shares_x_jan_price
CAG,-0.06760351788676411,2025-11-23,7857688402.123283,sec_shares_x_jan_price
COP,0.139622319063488,2025-09-30,115001577129.83167,sec_shares_x_jan_price
ED,0.08118343195266275,2025-09-30,37340456413.32979,sec_shares_x_jan_price
STZ,-0.09781638119977276,2025-11-30,23476911530.449768,yfinance_current
CEG,0.1948460087994972,2025-09-30,106623177189.79477,sec_shares_x_jan_price
COO,0.05733944954128445,2025-07-31,15728171741.868378,sec_shares_x_jan_price
CPRT,-0.031177256600469994,2020-07-31,39216283593.54483,sec_shares_x_jan_price
GLW,0.15381664748753354,2018-09-30,79150988828.68639,sec_shares_x_jan_price
CPAY,0.13921824490355106,2025-09-30,20772352854.0,sec_shares_x_jan_price
CTVA,0.12553740326741192,2025-09-30,46126494590.545654,sec_shares_x_jan_price
COST,0.08295924442084601,2025-11-23,426593769480.4944,sec_shares_x_jan_price
CRWD,0.22180843376117876,2025-10-31,111611545110.83618,sec_shares_x_jan_price
CCI,0.016949152542372836,2025-09-30,37387962956.11212,sec_shares_x_jan_price
CMI,-0.016438032166508965,2025-09-30,77668149869.81445,sec_shares_x_jan_price
DHI,-0.09537632996190726,2025-12-31,44119940379.285736,sec_shares_x_jan_price
DTE,0.1597651421508035,2018-03-31,27960770763.81427,sec_shares_x_jan_price
DVA,0.04799530578289546,2025-09-30,6942524020.385742,sec_shares_x_jan_price
DHR,0.04398068299413582,2025-09-26,165351497497.49847,sec_shares_x_jan_price
DRI,0.07339100346020766,2025-11-23,23866546535.685318,sec_shares_x_jan_price
DDOG,0.2835224110745258,2025-09-30,92677789593.77942,yfinance_current
DECK,0.07135863482498839,2025-12-31,13908258635.096626,sec_shares_x_jan_price
DE,-0.08622262773722633,2025-07-27,136997477023.31885,sec_shares_x_jan_price
DELL,0.10830665681687601,2025-10-31,254786886941.4485,yfinance_current
DAL,0.06353256362824511,2025-09-30,43824541313.06534,sec_shares_x_jan_price
DVN,0.11956808006320774,2025-09-30,22382893066.40625,sec_shares_x_jan_price
DXCM,0.21635485817742905,2025-09-30,27221491566.625717,sec_shares_x_jan_price
FANG,-0.311046511627907,2023-06-30,41467836646.02052,sec_shares_x_jan_price
DKS,0.3632732245817307,2025-11-01,21138708533.12384,yfinance_current
DLR,0.10202527364880454,2025-09-30,54476973695.2168,sec_shares_x_jan_price
DDS,0.02926330527698151,2025-11-01,8545806820.858093,yfinance_current
DG,0.045762782434362936,2025-10-31,32123701857.73256,sec_shares_x_jan_price
DLTR,-0.37232368382771075,2025-11-01,26658257763.738586,sec_shares_x_jan_price
D,0.19154557463672384,2025-09-30,52592311660.303696,sec_shares_x_jan_price
DPZ,0.06197002367331739,2025-09-07,12970394021.198761,sec_shares_x_jan_price
DASH,0.2734663710273466,2025-09-30,83662349417.74557,yfinance_current
DOV,0.04754071252335468,2025-09-30,27016193344.015594,sec_shares_x_jan_price
DOW,-0.08327971320893468,2025-09-30,18659067838.2426,sec_shares_x_jan_price
DD,0.002368265245707546,2025-12-31,17152134786.030079,sec_shares_x_jan_price
DUK,0.06560521772491845,2017-06-30,91395639183.80882,sec_shares_x_jan_price
EOG,-0.019782062028499636,2025-09-30,56541750882.29517,sec_shares_x_jan_price
EPAM,0.19429614903980807,2025-09-30,11178820567.809097,sec_shares_x_jan_price
EQT,0.048556862051690075,2024-06-30,31957237710.762024,sec_shares_x_jan_price
EMN,-0.10633116883116878,2025-09-30,7462233492.166534,sec_shares_x_jan_price
ETN,0.10133963750985031,2025-09-30,130184332608.03223,sec_shares_x_jan_price
ECL,0.04164061523071161,2025-09-30,76771904559.3977,sec_shares_x_jan_price
EIX,0.10555662372620644,2025-09-30,22777782474.40726,sec_shares_x_jan_price
EW,0.14670702894270526,2025-09-30,48473567468.26172,sec_shares_x_jan_price
EA,0.009559214020180562,2025-12-31,50955315682.96423,sec_shares_x_jan_price
ELV,0.12426284751474315,2025-09-30,80515524973.57312,sec_shares_x_jan_price
LLY,0.5386525163692948,2025-09-30,978986666307.1289,sec_shares_x_jan_price
EMR,0.040958083832335346,2025-12-31,80973955780.0293,sec_shares_x_jan_price
ENPH,0.07759541894542266,2025-09-30,4525531291.892277,sec_shares_x_jan_price
ETR,-0.05741085717178196,2024-09-30,42408927064.30467,sec_shares_x_jan_price
EFX,0.07150783742544031,2025-09-30,24904929655.734924,sec_shares_x_jan_price
EQIX,0.05224897773739201,2025-09-30,76256672709.83301,sec_shares_x_jan_price
EQR,0.029939893795264627,2020-03-31,22762254997.40204,sec_shares_x_jan_price
ERIE,0.0668606221109207,2025-09-30,13556148279.0,yfinance_current
ESS,-0.07881388997268823,2025-09-30,16345468511.511444,sec_shares_x_jan_price
EL,0.056193806193806095,2025-12-31,30285852003.416862,yfinance_current
EG,0.007934655775962751,2025-09-30,12844654740.164185,sec_shares_x_jan_price
EVRG,-0.014412602647896788,2025-09-30,17240329118.49785,sec_shares_x_jan_price
ES,0.05138409727790072,2025-09-30,25994734953.95677,sec_shares_x_jan_price
EXC,0.08953526161845948,2025-09-30,45163924457.61097,sec_shares_x_jan_price
EXE,3.5771604938271606,2025-09-30,24894407039.893494,sec_shares_x_jan_price
EXPE,0.08669950738916254,2025-09-30,32248732162.15265,yfinance_current
EXPD,-0.03512513286919805,2025-09-30,21134192838.54785,sec_shares_x_jan_price
EXR,0.08888293956227833,2025-09-30,30374758543.683838,sec_shares_x_jan_price
XOM,-0.2738507167572911,2023-06-30,536356223837.93604,sec_shares_x_jan_price
FFIV,0.07302909761262066,2025-12-31,14678055888.032532,sec_shares_x_jan_price
FDS,0.068500546013748,2025-11-30,10175932292.350037,sec_shares_x_jan_price
FICO,0.16362780929522147,2025-12-31,35452729263.0,sec_shares_x_jan_price
FAST,0.11679405297874568,2025-09-30,48408207668.654366,sec_shares_x_jan_price
FDX,0.06837529020803923,2025-11-30,56803567806.9668,sec_shares_x_jan_price
FRT,0.061324032631499215,2025-09-30,8757742723.251572,sec_shares_x_jan_price
FIS,0.08195459792227777,2025-12-31,30636840423.115997,sec_shares_x_jan_price
FITB,0.08053691275167796,2024-09-30,44794518828.08954,sec_shares_x_jan_price
FSLR,0.7966807409977603,2025-09-30,25981064822.837433,sec_shares_x_jan_price
FE,0.04693140794223827,2021-06-30,26778263681.23075,sec_shares_x_jan_price
FISV,,,34487800606.471985,sec_shares_x_jan_price
FIVE,0.23062782235602275,2025-11-01,10547137861.030426,sec_shares_x_jan_price
F,0.09390423413282534,2025-09-30,48359068137.02814,sec_shares_x_jan_price
FTNT,0.14375704528877398,2025-09-30,55834632895.75973,sec_shares_x_jan_price
FTV,0.046327367636092465,2025-12-31,16206445090.372925,sec_shares_x_jan_price
FOXA,0.02048050413548652,2025-12-31,71.60873413085938,sec_shares_x_jan_price
BEN,0.03353171078344297,2025-12-31,12749435210.83136,sec_shares_x_jan_price
FCX,0.020808383233532846,2025-09-30,86143016878.13397,sec_shares_x_jan_price
GE,-0.46640380252781677,2024-12-31,327109947780.47,sec_shares_x_jan_price
GEHC,0.05757762697923097,2025-09-30,35909286042.93819,sec_shares_x_jan_price
GEV,0.11847862672500842,2025-09-30,184478392075.48584,sec_shares_x_jan_price
GAP,0.029511621833376855,2025-11-01,9675394868.368301,sec_shares_x_jan_price
GRMN,0.1165677399178573,2025-09-27,38489164133.86963,sec_shares_x_jan_price
IT,0.026790971672956854,2025-09-30,15627988847.018341,sec_shares_x_jan_price
GEN,0.2576064908722109,2026-01-02,15064833980.144161,sec_shares_x_jan_price
GNRC,-0.050453192542709635,2025-09-30,9509004380.36847,sec_shares_x_jan_price
GD,0.10590352154913885,2025-09-28,96666888599.4437,sec_shares_x_jan_price
GIS,-0.07238411480696938,2025-11-23,23324042658.111607,sec_shares_x_jan_price
GM,-0.010707499720576719,2025-09-30,70019811095.56383,sec_shares_x_jan_price
GPC,0.04858029834186395,2025-09-30,17803165565.49994,sec_shares_x_jan_price
GILD,0.0296885354539429,2025-09-30,153239683854.67554,sec_shares_x_jan_price
GPN,-0.2282925730487032,2025-09-30,19994885145.98432,sec_shares_x_jan_price
GL,0.03956350354230809,2025-09-30,10747969964.207306,sec_shares_x_jan_price
GDDY,0.10256186824677593,2025-09-30,13800817283.454872,sec_shares_x_jan_price
GS,0.19568469958264423,2025-09-30,277260290458.6223,sec_shares_x_jan_price
HCA,0.09572825527534734,2025-09-30,103691446708.03223,sec_shares_x_jan_price
HPQ,0.03054959686367331,2025-07-31,17818980265.36377,sec_shares_x_jan_price
HAL,0.35286072486893083,2011-06-30,26609138148.579292,sec_shares_x_jan_price
HIG,0.046070460704606964,2025-09-30,35212827083.85193,sec_shares_x_jan_price
HAS,0.08288457035822994,2025-09-28,11797945318.898117,sec_shares_x_jan_price
DOC,0.053295530120060164,2025-09-30,12105827747.049084,sec_shares_x_jan_price
HSIC,0.051984877126654006,2025-09-27,8915951710.384117,sec_shares_x_jan_price
HSY,0.06491192953023495,2025-09-28,43880443308.824936,sec_shares_x_jan_price
HPE,0.18495460440985734,2025-07-31,26881221399.313046,sec_shares_x_jan_price
HLT,0.08824555284269264,2025-09-30,66427721951.132355,sec_shares_x_jan_price
HD,0.028221896213044273,2025-11-02,368369588295.88477,sec_shares_x_jan_price
HON,0.06423819391427643,2025-12-31,135295826824.20103,sec_shares_x_jan_price
HRL,0.046381108753906775,2025-07-27,13757873975.0,yfinance_current
HST,0.00909780136467031,2025-09-30,12413174563.447565,sec_shares_x_jan_price
HWM,0.1384196185286104,2025-09-30,88261697180.69661,sec_shares_x_jan_price
HUBB,0.11871393239901074,2025-12-31,24977868703.465393,sec_shares_x_jan_price
HUM,0.11062353301357275,2025-09-30,32156405983.526093,sec_shares_x_jan_price
HBAN,0.1712707182320441,2025-09-30,36148197184.68221,sec_shares_x_jan_price
HII,0.16114950891233182,2025-09-30,16187758498.97461,sec_shares_x_jan_price
IBM,0.09106092998396575,2025-09-30,269761524392.78284,sec_shares_x_jan_price
IEX,0.10085191681282879,2025-09-30,14320410099.254883,sec_shares_x_jan_price
IQV,0.05236139630390135,2025-09-30,39657193414.30664,sec_shares_x_jan_price
IDXX,0.13294749693247754,2025-09-30,54623681359.836914,sec_shares_x_jan_price
ITW,0.02344931921331317,2025-09-30,72871635614.01367,sec_shares_x_jan_price
INCY,0.20047000055366548,2025-09-30,20422867099.92961,sec_shares_x_jan_price
IR,0.05051047823750676,2025-09-30,33333562650.656418,sec_shares_x_jan_price
PODD,0.05789473684210522,2023-03-31,20010019794.0,sec_shares_x_jan_price
INTC,0.02777777777777768,2025-09-27,242557206859.58862,sec_shares_x_jan_price
ICE,-0.008572370590174794,2025-09-30,96769302386.64172,sec_shares_x_jan_price
IFF,-0.078974358974359,2025-09-30,17996848360.046265,sec_shares_x_jan_price
IP,0.5313615502294748,2025-12-31,21518792496.02664,sec_shares_x_jan_price
INTU,0.18336886993603407,2025-10-31,145830466180.41992,sec_shares_x_jan_price
ISRG,0.22913497865659194,2025-09-30,187309893070.29718,sec_shares_x_jan_price
IVZ,0.0824864722185561,2025-09-30,12188556127.70965,sec_shares_x_jan_price
