ticker,company,snapshot,n_results,n_matched,n_ai_builder,n_ai_user,n_ai_leader,builder_rate,ai_rate
A,Agilent Technologies,2026-07,25,5,4,0,0,0.8,0.8
AAPL,Apple Inc.,2026-07,58,26,22,1,2,0.8461538461538461,0.9615384615384616
ABBV,AbbVie,2026-07,54,44,21,3,12,0.4772727272727273,0.8181818181818182
ABNB,Airbnb,2026-07,60,38,38,0,0,1.0,1.0
ABT,Abbott Laboratories,2026-07,52,8,5,0,0,0.625,0.625
ACGL,Arch Capital Group,2026-07,50,9,6,0,1,0.6666666666666666,0.7777777777777778
ACI,Albertsons,2026-07,24,2,1,0,1,0.5,1.0
ACN,Accenture,2026-07,60,24,15,5,4,0.625,1.0
ADBE,Adobe Inc.,2026-07,54,23,13,1,7,0.5652173913043478,0.9130434782608695
ADI,Analog Devices,2026-07,25,19,14,0,2,0.7368421052631579,0.8421052631578947
ADM,Archer Daniels Midland,2026-07,25,12,5,0,2,0.4166666666666667,0.5833333333333334
ADP,Automatic Data Processing,2026-07,25,0,0,0,0,,
ADSK,Autodesk,2026-07,51,25,17,1,7,0.68,1.0
AEE,Ameren,2026-07,25,1,0,0,0,0.0,0.0
AEP,American Electric Power,2026-07,25,11,3,0,2,0.2727272727272727,0.45454545454545453
AES,AES Corporation,2026-07,25,12,2,0,2,0.16666666666666666,0.3333333333333333
AFL,Aflac,2026-07,25,8,3,0,1,0.375,0.5
AIG,American International Group,2026-07,25,16,11,0,2,0.6875,0.8125
AIZ,Assurant,2026-07,25,1,1,0,0,1.0,1.0
AJG,Arthur J. Gallagher & Co.,2026-07,25,3,0,0,0,0.0,0.0
AKAM,Akamai Technologies,2026-07,51,15,2,2,0,0.13333333333333333,0.26666666666666666
ALB,Albemarle Corporation,2026-07,25,2,0,0,1,0.0,0.5
ALGN,Align Technology,2026-07,25,9,4,2,0,0.4444444444444444,0.6666666666666666
ALL,Allstate,2026-07,50,28,14,0,6,0.5,0.7142857142857143
ALLE,Allegion,2026-07,25,7,2,0,3,0.2857142857142857,0.7142857142857143
AMAT,Applied Materials,2026-07,25,5,4,0,0,0.8,0.8
AMCR,Amcor,2026-07,25,3,0,0,0,0.0,0.0
AMD,AMD,2026-07,60,15,8,0,0,0.5333333333333333,0.5333333333333333
AME,Ametek,2026-07,25,5,1,0,1,0.2,0.4
AMGN,Amgen,2026-07,60,32,21,4,4,0.65625,0.90625
AMP,Ameriprise Financial,2026-07,25,1,1,0,0,1.0,1.0
AMT,American Tower,2026-07,25,0,0,0,0,,
AMZN,Amazon,2026-07,60,34,28,0,2,0.8235294117647058,0.8823529411764706
ANET,Arista Networks,2026-07,52,9,1,0,0,0.1111111111111111,0.1111111111111111
AON,Aon plc,2026-07,25,11,6,0,3,0.5454545454545454,0.8181818181818182
AOS,A. O. Smith,2026-07,25,2,1,0,0,0.5,0.5
APA,APA Corporation,2026-07,25,1,1,0,0,1.0,1.0
APD,Air Products,2026-07,25,15,9,2,3,0.6,0.9333333333333333
APH,Amphenol,2026-07,25,2,0,0,0,0.0,0.0
APO,Apollo Global Management,2026-07,25,13,4,0,2,0.3076923076923077,0.46153846153846156
APP,AppLovin,2026-07,25,5,5,0,0,1.0,1.0
APTV,Aptiv,2026-07,24,3,2,0,0,0.6666666666666666,0.6666666666666666
ARE,Alexandria Real Estate Equities,2026-07,25,0,0,0,0,,
ARES,Ares Management,2026-07,50,26,3,3,2,0.11538461538461539,0.3076923076923077
ATO,Atmos Energy,2026-07,25,10,4,2,0,0.4,0.6
AVB,AvalonBay Communities,2026-07,25,8,1,1,1,0.125,0.375
AVGO,Broadcom,2026-07,25,10,2,0,2,0.2,0.4
AVY,Avery Dennison,2026-07,24,8,1,1,0,0.125,0.25
AWK,American Water Works,2026-07,25,4,1,0,1,0.25,0.5
AXON,Axon Enterprise,2026-07,58,26,4,3,0,0.15384615384615385,0.2692307692307692
AXP,American Express,2026-07,54,23,17,0,5,0.7391304347826086,0.9565217391304348
AZO,AutoZone,2026-07,25,0,0,0,0,,
BA,Boeing,2026-07,55,28,16,1,4,0.5714285714285714,0.75
BAC,Bank of America,2026-07,25,3,2,0,0,0.6666666666666666,0.6666666666666666
BALL,Ball Corporation,2026-07,25,4,0,0,0,0.0,0.0
BAX,Baxter International,2026-07,25,8,1,1,1,0.125,0.375
BBBY,Bed Bath & Beyond,2026-07,25,9,2,0,1,0.2222222222222222,0.3333333333333333
BBY,Best Buy,2026-07,25,15,12,1,2,0.8,1.0
BDX,Becton Dickinson,2026-07,52,8,4,0,2,0.5,0.75
BEN,Franklin Resources,2026-07,25,10,6,0,2,0.6,0.8
BF-A,Brown-Forman,2026-07,25,14,1,0,1,0.07142857142857142,0.14285714285714285
BG,Bunge Global,2026-07,25,13,7,0,2,0.5384615384615384,0.6923076923076923
BIIB,Biogen,2026-07,25,3,0,1,1,0.0,0.6666666666666666
BJ,BJ's Wholesale,2026-07,25,11,2,3,1,0.18181818181818182,0.5454545454545454
BKNG,Booking Holdings,2026-07,25,13,11,0,2,0.8461538461538461,1.0
BKR,Baker Hughes,2026-07,55,11,6,0,0,0.5454545454545454,0.5454545454545454
BLDR,Builders FirstSource,2026-07,25,2,1,0,0,0.5,0.5
BLK,BlackRock,2026-07,59,25,17,3,2,0.68,0.88
BMY,Bristol Myers Squibb,2026-07,60,51,35,2,7,0.6862745098039216,0.8627450980392157
BNY,BNY Mellon,2026-07,25,1,0,0,0,0.0,0.0
BR,Broadridge Financial Solutions,2026-07,50,11,1,0,4,0.09090909090909091,0.45454545454545453
BRK.B,Berkshire Hathaway,2026-07,25,13,5,0,1,0.38461538461538464,0.46153846153846156
BRO,Brown & Brown,2026-07,25,12,3,0,1,0.25,0.3333333333333333
BSX,Boston Scientific,2026-07,25,10,4,0,2,0.4,0.6
BURL,Burlington,2026-07,25,1,1,0,0,1.0,1.0
BX,Blackstone Inc.,2026-07,25,8,3,1,1,0.375,0.625
BXP,BXP Inc.,2026-07,25,1,0,0,0,0.0,0.0
C,Citigroup,2026-07,59,29,24,3,2,0.8275862068965517,1.0
CAG,Conagra Brands,2026-07,25,10,5,0,3,0.5,0.8
CAH,Cardinal Health,2026-07,25,20,17,0,2,0.85,0.95
CARR,Carrier Global,2026-07,25,9,0,1,0,0.0,0.1111111111111111
CASY,Casey's,2026-07,25,5,1,0,2,0.2,0.6
CAT,Caterpillar Inc.,2026-07,59,32,23,0,6,0.71875,0.90625
CB,Chubb Limited,2026-07,25,24,21,0,3,0.875,1.0
CBOE,Cboe Global Markets,2026-07,24,13,2,1,1,0.15384615384615385,0.3076923076923077
CBRE,CBRE Group,2026-07,22,18,12,1,2,0.6666666666666666,0.8333333333333334
CCI,Crown Castle,2026-07,25,8,0,1,0,0.0,0.125
CCL,Carnival,2026-07,25,3,1,1,0,0.3333333333333333,0.6666666666666666
CDNS,Cadence Design Systems,2026-07,24,5,3,1,1,0.6,1.0
CDW,CDW Corporation,2026-07,55,7,3,2,0,0.42857142857142855,0.7142857142857143
CEG,Constellation Energy,2026-07,25,14,5,1,2,0.35714285714285715,0.5714285714285714
CF,CF Industries,2026-07,25,4,0,0,0,0.0,0.0
CFG,Citizens Financial Group,2026-07,25,4,3,0,0,0.75,0.75
CHD,Church & Dwight,2026-07,25,5,1,1,0,0.2,0.4
CHRW,C.H. Robinson,2026-07,25,9,3,0,1,0.3333333333333333,0.4444444444444444
CHTR,Charter Communications,2026-07,25,15,12,2,0,0.8,0.9333333333333333
CHWY,Chewy,2026-07,54,29,17,3,5,0.5862068965517241,0.8620689655172413
CI,Cigna,2026-07,51,15,6,2,3,0.4,0.7333333333333333
CIEN,Ciena,2026-07,54,4,1,0,1,0.25,0.5
CINF,Cincinnati Financial,2026-07,25,0,0,0,0,,
CL,Colgate-Palmolive,2026-07,25,24,14,1,3,0.5833333333333334,0.75
CLX,Clorox,2026-07,25,12,3,2,2,0.25,0.5833333333333334
CMCSA,Comcast,2026-07,54,14,9,2,1,0.6428571428571429,0.8571428571428571
CME,CME Group,2026-07,25,1,0,1,0,0.0,1.0
CMG,Chipotle Mexican Grill,2026-07,50,2,0,0,0,0.0,0.0
CMI,Cummins,2026-07,25,17,11,0,4,0.6470588235294118,0.8823529411764706
CMS,CMS Energy,2026-07,25,3,2,0,0,0.6666666666666666,0.6666666666666666
CNC,Centene Corporation,2026-07,53,31,19,2,4,0.6129032258064516,0.8064516129032258
CNP,CenterPoint Energy,2026-07,25,18,11,1,2,0.6111111111111112,0.7777777777777778
COF,Capital One,2026-07,51,23,20,0,2,0.8695652173913043,0.9565217391304348
COHR,Coherent Corp.,2026-07,25,8,6,0,0,0.75,0.75
COIN,Coinbase,2026-07,52,32,18,3,1,0.5625,0.6875
COO,Cooper Companies,2026-07,25,0,0,0,0,,
COP,ConocoPhillips,2026-07,25,16,11,0,2,0.6875,0.8125
COR,Cencora,2026-07,25,13,4,0,3,0.3076923076923077,0.5384615384615384
COST,Costco,2026-07,50,21,10,0,1,0.47619047619047616,0.5238095238095238
CPAY,Corpay,2026-07,25,16,10,4,0,0.625,0.875
CPB,Campbell Company,2026-07,25,9,3,0,2,0.3333333333333333,0.5555555555555556
CPRT,Copart,2026-07,25,15,6,3,2,0.4,0.7333333333333333
CPT,Camden Property Trust,2026-07,25,12,1,0,1,0.08333333333333333,0.16666666666666666
CRH,CRH plc,2026-07,25,13,1,0,3,0.07692307692307693,0.3076923076923077
CRL,Charles River Laboratories,2026-07,24,4,2,0,0,0.5,0.5
CRM,Salesforce,2026-07,53,25,13,2,5,0.52,0.8
CRWD,CrowdStrike,2026-07,53,29,13,6,4,0.4482758620689655,0.7931034482758621
CSCO,Cisco,2026-07,52,21,12,5,3,0.5714285714285714,0.9523809523809523
CSGP,CoStar Group,2026-07,24,15,6,1,1,0.4,0.5333333333333333
CSX,CSX Corporation,2026-07,25,9,5,2,0,0.5555555555555556,0.7777777777777778
CTAS,Cintas,2026-07,25,5,1,0,1,0.2,0.4
CTRA,Coterra,2026-07,25,6,1,0,1,0.16666666666666666,0.3333333333333333
CTSH,Cognizant,2026-07,60,27,17,0,7,0.6296296296296297,0.8888888888888888
CTVA,Corteva,2026-07,25,1,1,0,0,1.0,1.0
CVNA,Carvana,2026-07,24,14,9,1,1,0.6428571428571429,0.7857142857142857
CVS,CVS Health,2026-07,52,9,8,1,0,0.8888888888888888,1.0
CVX,Chevron Corporation,2026-07,25,20,14,0,3,0.7,0.85
CZR,Caesars Entertainment,2026-07,25,12,3,0,1,0.25,0.3333333333333333
D,Dominion Energy,2026-07,25,14,6,0,0,0.42857142857142855,0.42857142857142855
DAL,Delta Air Lines,2026-07,25,3,3,0,0,1.0,1.0
DASH,DoorDash,2026-07,60,16,12,1,0,0.75,0.8125
DAY,Dayforce,2026-07,52,19,14,1,1,0.7368421052631579,0.8421052631578947
DD,DuPont,2026-07,25,2,0,0,0,0.0,0.0
DDOG,Datadog,2026-07,55,21,6,2,3,0.2857142857142857,0.5238095238095238
DDS,Dillard's,2026-07,25,13,5,0,3,0.38461538461538464,0.6153846153846154
DE,Deere & Company,2026-07,25,4,2,0,1,0.5,0.75
DECK,Deckers Brands,2026-07,51,20,4,0,0,0.2,0.2
DELL,Dell Technologies,2026-07,24,5,3,1,0,0.6,0.8
DG,Dollar General,2026-07,25,7,5,1,1,0.7142857142857143,1.0
DGX,Quest Diagnostics,2026-07,53,18,10,0,3,0.5555555555555556,0.7222222222222222
DHI,D.R. Horton,2026-07,25,5,0,0,0,0.0,0.0
DHR,Danaher Corporation,2026-07,25,1,1,0,0,1.0,1.0
DIS,Walt Disney,2026-07,60,30,20,3,3,0.6666666666666666,0.8666666666666667
DKS,Dick's Sporting Goods,2026-07,50,13,2,3,3,0.15384615384615385,0.6153846153846154
DLR,Digital Realty,2026-07,24,1,0,0,0,0.0,0.0
DLTR,Dollar Tree,2026-07,25,6,1,1,0,0.16666666666666666,0.3333333333333333
DOC,Healthpeak Properties,2026-07,25,8,1,0,1,0.125,0.25
DOV,Dover Corporation,2026-07,25,4,0,0,0,0.0,0.0
DOW,Dow Inc.,2026-07,25,12,8,0,2,0.6666666666666666,0.8333333333333334
DPZ,Dominos,2026-07,25,17,13,1,1,0.7647058823529411,0.8823529411764706
DRI,Darden Restaurants,2026-07,25,11,1,1,0,0.09090909090909091,0.18181818181818182
DTE,DTE Energy,2026-07,25,2,0,0,0,0.0,0.0
DUK,Duke Energy,2026-07,25,17,12,0,3,0.7058823529411765,0.8823529411764706
DVA,DaVita,2026-07,25,13,2,1,0,0.15384615384615385,0.23076923076923078
DVN,Devon Energy,2026-07,25,8,2,1,0,0.25,0.375
DXCM,Dexcom,2026-07,52,23,5,1,0,0.21739130434782608,0.2608695652173913
EA,Electronic Arts,2026-07,57,10,7,0,1,0.7,0.8
EBAY,eBay Inc.,2026-07,25,16,13,0,3,0.8125,1.0
ECL,Ecolab,2026-07,23,18,13,1,2,0.7222222222222222,0.8888888888888888
ED,Consolidated Edison,2026-07,25,14,5,1,2,0.35714285714285715,0.5714285714285714
EFX,Equifax,2026-07,50,22,14,1,4,0.6363636363636364,0.8636363636363636
EG,Everest Group,2026-07,25,0,0,0,0,,
EIX,Edison International,2026-07,25,14,5,0,3,0.35714285714285715,0.5714285714285714
EL,Estee Lauder Companies,2026-07,25,1,1,0,0,1.0,1.0
ELV,Elevance Health,2026-07,25,4,3,1,0,0.75,1.0
EME,Emcor,2026-07,25,1,0,0,0,0.0,0.0
EMN,Eastman Chemical Company,2026-07,25,11,6,0,2,0.5454545454545454,0.7272727272727273
EMR,Emerson Electric,2026-07,24,6,4,0,0,0.6666666666666666,0.6666666666666666
ENPH,Enphase Energy,2026-07,25,12,9,0,2,0.75,0.9166666666666666
EOG,EOG Resources,2026-07,25,11,2,1,0,0.18181818181818182,0.2727272727272727
EPAM,EPAM Systems,2026-07,25,9,5,2,2,0.5555555555555556,1.0
EQIX,Equinix,2026-07,25,12,9,0,1,0.75,0.8333333333333334
EQR,Equity Residential,2026-07,25,1,0,0,0,0.0,0.0
EQT,EQT Corporation,2026-07,24,14,4,2,0,0.2857142857142857,0.42857142857142855
ERIE,Erie Indemnity,2026-07,25,2,0,0,0,0.0,0.0
ES,Eversource Energy,2026-07,25,10,2,3,1,0.2,0.6
ESS,Essex Property Trust,2026-07,25,10,1,1,1,0.1,0.3
ETN,Eaton Corporation,2026-07,24,11,7,0,1,0.6363636363636364,0.7272727272727273
ETR,Entergy,2026-07,25,10,5,0,2,0.5,0.7
EVRG,Evergy,2026-07,25,13,1,0,1,0.07692307692307693,0.15384615384615385
EW,Edwards Lifesciences,2026-07,25,4,0,0,0,0.0,0.0
EXC,Exelon,2026-07,25,14,5,0,2,0.35714285714285715,0.5
EXE,Expand Energy,2026-07,25,0,0,0,0,,
EXPD,Expeditors International,2026-07,24,6,1,1,1,0.16666666666666666,0.5
EXPE,Expedia Group,2026-07,54,36,20,5,3,0.5555555555555556,0.7777777777777778
EXR,Extra Space Storage,2026-07,25,14,5,2,1,0.35714285714285715,0.5714285714285714
F,Ford Motor Company,2026-07,51,27,20,2,4,0.7407407407407407,0.9629629629629629
FANG,Diamondback Energy,2026-07,25,12,1,1,1,0.08333333333333333,0.25
FAST,Fastenal,2026-07,25,14,2,3,1,0.14285714285714285,0.42857142857142855
FCX,Freeport-McMoRan,2026-07,52,32,9,3,1,0.28125,0.40625
FDS,FactSet,2026-07,25,20,13,1,3,0.65,0.85
FDX,FedEx,2026-07,55,10,6,0,4,0.6,1.0
FDXF,FedEx Freight,2026-07,25,6,2,0,4,0.3333333333333333,1.0
FE,FirstEnergy,2026-07,25,13,4,0,0,0.3076923076923077,0.3076923076923077
FFIV,F5 Inc.,2026-07,52,6,0,1,0,0.0,0.16666666666666666
FICO,Fair Isaac,2026-07,25,4,3,0,1,0.75,1.0
FIS,Fidelity National Information Services,2026-07,25,4,1,0,0,0.25,0.25
FISV,Fiserv,2026-07,51,6,2,0,0,0.3333333333333333,0.3333333333333333
FITB,Fifth Third Bancorp,2026-07,57,5,3,0,0,0.6,0.6
FIVE,Five Below,2026-07,25,11,2,1,1,0.18181818181818182,0.36363636363636365
FIX,Comfort Systems USA,2026-07,25,8,3,0,2,0.375,0.625
FL,Foot Locker,2026-07,25,13,3,1,1,0.23076923076923078,0.38461538461538464
FOXA,Fox Corporation,2026-07,54,17,2,4,1,0.11764705882352941,0.4117647058823529
FRT,Federal Realty Investment Trust,2026-07,25,14,0,0,4,0.0,0.2857142857142857
FSLR,First Solar,2026-07,25,10,3,2,1,0.3,0.6
FTNT,Fortinet,2026-07,25,13,9,0,1,0.6923076923076923,0.7692307692307693
FTV,Fortive,2026-07,25,2,0,0,0,0.0,0.0
GAP,Gap Inc,2026-07,25,4,1,0,0,0.25,0.25
GD,General Dynamics,2026-07,60,13,3,0,2,0.23076923076923078,0.38461538461538464
GDDY,GoDaddy,2026-07,51,8,1,3,2,0.125,0.75
GE,GE Aerospace,2026-07,58,7,3,0,1,0.42857142857142855,0.5714285714285714
GEHC,GE HealthCare,2026-07,25,12,7,2,1,0.5833333333333334,0.8333333333333334
GEN,Gen Digital,2026-07,25,4,3,0,1,0.75,1.0
GEV,GE Vernova,2026-07,60,34,18,0,8,0.5294117647058824,0.7647058823529411
GILD,Gilead Sciences,2026-07,25,8,4,0,3,0.5,0.875
GIS,General Mills,2026-07,25,16,11,3,2,0.6875,1.0
GL,Globe Life,2026-07,25,1,0,0,0,0.0,0.0
GLW,Corning Inc.,2026-07,24,10,7,2,1,0.7,1.0
GM,General Motors,2026-07,52,21,12,3,2,0.5714285714285714,0.8095238095238095
GNRC,Generac,2026-07,25,10,2,0,1,0.2,0.3
GOOGL,Alphabet Inc.,2026-07,54,25,22,3,0,0.88,1.0
GPC,Genuine Parts Company,2026-07,25,1,0,1,0,0.0,1.0
GPN,Global Payments,2026-07,25,14,7,0,4,0.5,0.7857142857142857
GRMN,Garmin,2026-07,53,20,7,0,1,0.35,0.4
GS,Goldman Sachs,2026-07,25,5,3,0,0,0.6,0.6
GWW,W. W. Grainger,2026-07,25,7,3,0,1,0.42857142857142855,0.5714285714285714
HAL,Halliburton,2026-07,51,14,7,2,0,0.5,0.6428571428571429
HAS,Hasbro,2026-07,25,11,4,0,2,0.36363636363636365,0.5454545454545454
HBAN,Huntington Bancshares,2026-07,25,21,14,1,6,0.6666666666666666,1.0
HCA,HCA Healthcare,2026-07,25,21,14,3,3,0.6666666666666666,0.9523809523809523
HD,Home Depot,2026-07,52,4,2,0,2,0.5,1.0
HIG,Hartford,2026-07,51,21,12,1,7,0.5714285714285714,0.9523809523809523
HII,Huntington Ingalls Industries,2026-07,25,9,6,1,0,0.6666666666666666,0.7777777777777778
HLT,Hilton Worldwide,2026-07,24,5,2,0,1,0.4,0.6
HOLX,Hologic,2026-07,25,2,1,0,0,0.5,0.5
HON,Honeywell,2026-07,55,39,31,2,3,0.7948717948717948,0.9230769230769231
HOOD,Robinhood Markets,2026-07,24,4,2,0,1,0.5,0.75
HPE,Hewlett Packard Enterprise,2026-07,59,22,13,0,6,0.5909090909090909,0.8636363636363636
HPQ,HP Inc.,2026-07,25,4,2,1,1,0.5,1.0
HRL,Hormel Foods,2026-07,24,12,5,0,2,0.4166666666666667,0.5833333333333334
HSIC,Henry Schein,2026-07,25,12,2,2,3,0.16666666666666666,0.5833333333333334
HST,Host Hotels & Resorts,2026-07,25,3,0,0,0,0.0,0.0
HSY,Hershey Company,2026-07,24,12,4,1,2,0.3333333333333333,0.5833333333333334
HUBB,Hubbell Incorporated,2026-07,25,11,2,2,1,0.18181818181818182,0.45454545454545453
HUM,Humana,2026-07,50,17,8,2,1,0.47058823529411764,0.6470588235294118
HWM,Howmet Aerospace,2026-07,25,5,2,0,0,0.4,0.4
IBKR,Interactive Brokers,2026-07,25,2,0,1,0,0.0,0.5
IBM,IBM,2026-07,25,4,2,0,1,0.5,0.75
ICE,Intercontinental Exchange,2026-07,25,2,0,0,0,0.0,0.0
IDXX,Idexx Laboratories,2026-07,50,29,6,1,1,0.20689655172413793,0.27586206896551724
IEX,IDEX Corporation,2026-07,25,4,0,0,0,0.0,0.0
IFF,International Flavors & Fragrances,2026-07,25,8,4,0,0,0.5,0.5
INCY,Incyte,2026-07,25,2,1,0,1,0.5,1.0
INTC,Intel,2026-07,25,2,2,0,0,1.0,1.0
INTU,Intuit,2026-07,25,6,3,2,0,0.5,0.8333333333333334
INVH,Invitation Homes,2026-07,25,1,0,0,0,0.0,0.0
IP,International Paper,2026-07,25,9,1,0,1,0.1111111111111111,0.2222222222222222
IPG,Interpublic Group of Companies,2026-07,25,0,0,0,0,,
IQV,IQVIA,2026-07,60,35,16,1,1,0.45714285714285713,0.5142857142857142
